decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_5,bio_15,bio_18
-11.601333,-76.200035,13.379,78.54752,106.565674,10.105,75.824615,473.0
-10.615089,-76.17954,14.2213335,79.922066,72.361664,14.029,58.806732,450.0
-10.551277,-76.827478,13.396833,80.38422,92.185486,10.121,72.28243,407.0
-12.169845,-75.63094,13.6225,78.94356,67.64738,12.769,77.33495,423.0
-11.577478,-76.35644,13.1519165,77.88651,113.24658,9.457,78.05566,475.0
-12.187926,-75.800095,13.211667,78.11083,88.11,13.339,85.67598,426.0
-11.737766,-76.25577,13.175667,76.42055,123.39739,11.197,82.89669,419.0
-11.164677,-76.018005,13.1796665,77.03803,103.83299,13.783,62.821674,403.0
-12.372423,-75.75166,13.069417,77.5173,95.69094,13.497,90.81919,408.0
-11.755806,-76.045,13.237667,80.18941,90.116196,10.15,75.934715,462.0
-11.467018,-76.06379,13.919833,78.01723,100.91332,12.875,65.90814,409.0
-11.682864,-74.80047,13.451,79.23539,68.608215,20.95,58.10795,307.0
-9.124234,-75.177992,11.108084,89.87123,20.275389,32.593,40.85961,981.0
-10.585703,-76.693306,13.45525,80.25798,90.06472,10.178,69.998405,415.0
-11.079071,-76.15207,11.696834,75.40993,105.271034,13.228,65.04139,431.0
-11.42163,-76.34846,13.40175,78.43703,109.49732,9.672,75.1491,490.0
-11.021532,-76.465866,13.7465,79.45495,94.574936,10.422,65.485214,436.0
-12.526282,-75.50572,13.66775,77.43329,86.097725,11.469,80.91242,405.0
-9.530101,-77.52544,14.171333,83.81437,47.578144,18.601,85.11905,316.0
-11.771452,-75.71393,13.718833,77.50315,83.31884,16.085001,76.5325,234.0
-11.804026,-76.69918,12.674583,73.4801,142.34387,17.351,134.36612,271.0
-10.299348,-77.00489,13.613833,80.133224,93.35977,11.103,79.237976,379.0
-10.126064,-77.28522,14.297833,79.551735,106.20876,12.822,90.854126,328.0
-11.904979,-76.2343,13.526334,78.92597,108.03527,10.064,83.62051,447.0
-9.074484,-77.644844,12.533167,77.95712,113.67995,9.648,70.188644,416.0
-11.433717,-74.7702,11.98,79.56961,65.06536,23.3,46.253677,399.0
-11.516915,-74.93538,13.09075,79.52585,38.35036,15.844,57.92975,276.0
-8.948708,-77.562485,12.669167,80.7159,92.1956,12.688,63.832497,367.0
-11.097778,-76.323889,14.004833,79.19495,97.03451,11.688,65.08501,455.0
-11.7870881817,-76.3990864111,13.0095,74.31876,131.49428,14.263,100.055305,347.0
