decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_13,bio_15,elevation
-5.673133,-77.76283,10.117917,82.46061,41.32924,137.0,21.049725,2430
-5.757942,-77.85647,10.897166,83.36904,41.774834,121.0,27.437235,2088
-5.695999,-77.81149,10.117917,82.46061,41.32924,137.0,21.049725,2430
-5.732644,-77.95452,10.837,83.76101,40.67175,119.0,25.171144,2022
-5.665919,-77.90244,10.375334,83.3494,40.074028,124.0,20.94636,2109
-5.468768,-77.479271,10.406333,85.66293,34.45533,145.0,13.402604,1473
-5.616521,-77.917374,10.752167,84.45657,39.17702,119.0,22.042114,1815
-5.696237,-77.86121,10.649,83.27338,41.202232,123.0,24.479136,2152
-5.793236,-77.79476,10.14375,81.410515,43.724102,146.0,24.007595,2683
-5.782428,-77.669441,9.9365835,81.48749,42.87558,135.0,23.093376,2381
-6.360141,-77.426605,11.152333,83.375694,46.46772,138.0,35.600136,2032
-5.781295,-77.927191,10.662416,83.11831,41.01434,126.0,26.94597,2367
-5.598534,-77.96276,10.752167,84.45657,39.17702,119.0,22.042114,1815
-5.674825,-77.70393,10.388333,84.197876,38.84124,128.0,19.967636,1839
-5.776014,-77.976417,10.662416,83.11831,41.01434,126.0,26.94597,2367
-5.641837,-78.259285,9.978167,81.78825,40.721947,135.0,18.421036,2512
-5.691149,-77.553864,11.01975,86.61282,37.805458,135.0,19.008913,1022
-5.648104,-77.99964,10.752167,84.45657,39.17702,119.0,22.042114,1815
-5.7563,-77.7502,10.14375,81.410515,43.724102,146.0,24.007595,2683
-5.6399833386,-77.6112788408,10.82125,86.21823,36.927853,129.0,18.530928,1259
