especie,modelo,estrategia_pseudo,auc_roc_mean,auc_pr_mean,tss_mean
Cinclodes_palliatus,RandomForest,aleatoria,0.9444444444444443,0.932936507936508,0.8333333333333336
Cinclodes_palliatus,SVM,aleatoria,0.9333333333333333,0.9207142857142856,0.8333333333333336
Cinclodes_palliatus,LightGBM,aleatoria,0.9333333333333333,0.9207142857142856,0.7333333333333335
Cinclodes_palliatus,MaxEnt,aleatoria,0.913888888888889,0.878015873015873,0.8333333333333334
Cinclodes_palliatus,SVM,buffer,0.8388888888888889,0.846547619047619,0.5333333333333334
Cinclodes_palliatus,RandomForest,buffer,0.7333333333333333,0.7430892255892255,0.4333333333333334
Cinclodes_palliatus,MaxEnt,buffer,0.6833333333333335,0.7088768638768638,0.4333333333333334
Cinclodes_palliatus,LightGBM,buffer,0.675,0.7093458393458393,0.36666666666666675
Telmatobius_macrostomus,RandomForest,aleatoria,1.0,1.0,0.95
Telmatobius_macrostomus,SVM,aleatoria,1.0,1.0,1.0
Telmatobius_macrostomus,MaxEnt,aleatoria,0.975,0.96,0.85
Telmatobius_macrostomus,LightGBM,aleatoria,0.9703125,0.9550000000000001,0.925
Telmatobius_macrostomus,RandomForest,buffer,0.903125,0.9063095238095238,0.6
Telmatobius_macrostomus,LightGBM,buffer,0.89375,0.8919119769119769,0.675
Telmatobius_macrostomus,SVM,buffer,0.884375,0.8814258658008658,0.55
Telmatobius_macrostomus,MaxEnt,buffer,0.8421875,0.8322790404040404,0.5
Xenoglaux_loweryi,RandomForest,aleatoria,0.9675,0.9733333333333333,0.82
Xenoglaux_loweryi,SVM,aleatoria,0.9650000000000001,0.9675,0.8099999999999999
Xenoglaux_loweryi,LightGBM,aleatoria,0.9475,0.9466666666666667,0.82
Xenoglaux_loweryi,MaxEnt,aleatoria,0.93,0.89,0.64
Xenoglaux_loweryi,RandomForest,buffer,0.8675,0.9069047619047618,0.6100000000000001
Xenoglaux_loweryi,SVM,buffer,0.8425,0.891904761904762,0.5599999999999999
Xenoglaux_loweryi,LightGBM,buffer,0.81375,0.8089999999999999,0.49000000000000005
Xenoglaux_loweryi,MaxEnt,buffer,0.7737499999999999,0.7312142857142858,0.51
